30 offres,tfidf
responsable,8.65955318764
formation,8.34964919815
information,7.67610385776
communication,5.42675429414
experience,4.96835800863
analyse,4.80880049046
rigueur,4.79175278817
environnement,4.59293713574
autonomie,4.57233698469
organisation,4.50796425483
international,4.46922715648
management,4.09558041486
direction,3.83805192888
services,2.95293465375
solutions,2.85788124523
competences,2.43765734569
collaboration,2.31415632487
recherche,2.31127894852
gestion,2.05659091598
respect,2.04979248809
connaissance,1.97447933586
developpement,1.82824300926
service,1.80137612388
techniques,1.52602918023
operations,1.18768732864
recrutement,1.1218563747
commerce,1.02882289298
clients,1.0020427168
commercial,0.996808013247
autonome,0.946433904199
