10 offres,tfidf
marketing communication,11.8141592833
communication marketing,10.7176548002
marketing direct,5.57905732066
charge projet,5.30192213537
charge projets,4.78902640935
business planning,4.05962494175
recherche marketing,3.60098709272
langues etrangeres,3.32924647316
coordination projet,3.24671158511
marketing strategique,3.23032116892
web marketing,2.90581007741
product development,2.81658689306
business development,2.77519420791
organisation evenements,2.77519420791
service conseil,2.77238323057
google analytics,2.76131780442
mise page,2.73740564702
respect echeanciers,2.71474166238
relations publiques,2.53783329211
communication interne,2.45351240641
gestion relations,2.4274208087
parfaitement bilingue,2.28602131912
