10 offres,tfidf
marketing,23.837258342
communication,10.0782579748
gestion,6.68392047692
commerce,5.14411446489
collaboration,4.62831264974
connaissance,3.94895867173
direction,3.83805192888
developpement,3.65648601853
ventes,3.41752648526
responsable,3.14892843187
recherche,3.0817052647
clients,3.0061281504
autonome,2.8393017126
web,2.56059813413
service,2.40183483184
operations,2.37537465729
techniques,2.28904377034
conception,2.28384509531
organisation,2.25398212742
international,2.23461357824
services,2.21470099032
respect,2.04979248809
production,1.9277782194
competences,1.82824300926
experience,1.60269613182
environnement,1.53097904525
formation,1.39160819969
applications,1.26723325225
plan,1.15823473964
management,1.02389510372
commercial,0.996808013247
premiere,0.971001653029
information,0.95951298222
rigueur,0.958350557634
solutions,0.952627081744
dynamique,0.925049435391
informatique,0.923697606745
analyse,0.801466748409
